Comment,Designator,Footprint,LCSC
"DIODE","D1,D2,D3,D4,D5,D6","Yan:D_SOD-523","C511874"
"JC","JC1","Yan:JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal","C136657"
