Designator,Mid X,Mid Y,Layer,Rotation
JC1, 13.000000mm, 21.500000mm, Bottom, 270
D1, 21.600000mm, 31.400000mm, Bottom, 180
D2, 21.600000mm, 14.400000mm, Bottom, 180
D3, 21.600000mm, -2.600000mm, Bottom, 180
D4, -3.600000mm, 36.600000mm, Bottom, 0
D5, -3.600000mm, 19.600000mm, Bottom, 0
D6, -3.600000mm, 2.600000mm, Bottom, 0
